DECEMBER 2025 FULL ANALYSIS - ALL COINS COMBINED

SETTINGS
Initial Capital,$100
Leverage,10x
Position Size,$1000 (based on current capital)
SL,0.75 ATR
TP,3 ATR (4:1 R:R)
Entry Condition,5c return < -2% AND position in range < 30%
Period,December 1-31 2025

SUMMARY
Total Signals Found,160
Actual Trades Taken,49
Signals Missed (blocked),111
Wins,7
Losses,40
Timeouts,2
Win Rate,14.3%
Initial Capital,$100
Final Capital,$47.73
Total P&L,$-52.27
Return,-52.3%

SIGNALS BY COIN
DOGEUSDT,Signals:44,Traded:29,Missed:15
NEARUSDT,Signals:72,Traded:18,Missed:54
ETHUSDT,Signals:44,Traded:2,Missed:42

ALL SIGNALS CHRONOLOGICAL (Traded + Missed)
Signal #,Coin,Entry Time,Exit Time,Entry Price,Exit Price,5c Return %,Pos in Range %,Result,Was Traded?,Blocked By,Position Size,P&L,Capital After,Hypothetical P&L
90,ETHUSDT,2025-12-18 19:45:00,2025-12-19 03:15:00,$2780.400000,$2880.068571,WIN,DOGEUSDT,$49.63,$17.79,$67.42
91,NEARUSDT,2025-12-18 20:00:00,2025-12-18 23:30:00,$1.439000,$1.418804,LOSS,DOGEUSDT,$49.63,$-6.97,$42.66
92,NEARUSDT,2025-12-18 20:30:00,2025-12-19 01:00:00,$1.434000,$1.416643,LOSS,DOGEUSDT,$49.63,$-6.01,$43.62
93,NEARUSDT,2025-12-18 23:30:00,2025-12-19 01:00:00,$1.420000,$1.409018,LOSS,DOGEUSDT,$49.63,$-3.84,$45.79
94,NEARUSDT,2025-12-21 14:00:00,2025-12-21 15:30:00,$1.462000,$1.453161,LOSS,NEARUSDT,$58.41,$-3.53,$54.87
95,NEARUSDT,2025-12-21 14:15:00,2025-12-21 15:30:00,$1.462000,$1.453268,LOSS,NEARUSDT,$58.41,$-3.49,$54.92
96,NEARUSDT,2025-12-22 19:45:00,2025-12-22 20:15:00,$1.504000,$1.495536,LOSS,DOGEUSDT,$52.70,$-2.97,$49.73
97,NEARUSDT,2025-12-22 20:00:00,2025-12-22 20:15:00,$1.505000,$1.496964,LOSS,DOGEUSDT,$52.70,$-2.81,$49.89
98,NEARUSDT,2025-12-25 22:45:00,2025-12-25 23:00:00,$1.460000,$1.454161,LOSS,DOGEUSDT,$48.10,$-1.92,$46.17
99,NEARUSDT,2025-12-25 23:00:00,2025-12-25 23:30:00,$1.460000,$1.453732,LOSS,DOGEUSDT,$48.10,$-2.06,$46.03
100,NEARUSDT,2025-12-25 23:15:00,2025-12-25 23:30:00,$1.455000,$1.448625,LOSS,DOGEUSDT,$48.10,$-2.11,$45.99
101,NEARUSDT,2025-12-25 23:30:00,2025-12-26 02:00:00,$1.437000,$1.465714,WIN,DOGEUSDT,$55.92,$11.17,$67.09
102,NEARUSDT,2025-12-25 23:45:00,2025-12-26 02:00:00,$1.436000,$1.464714,WIN,DOGEUSDT,$55.92,$11.18,$67.10
103,ETHUSDT,2025-12-26 14:45:00,2025-12-26 15:00:00,$2916.380000,$2908.716071,LOSS,DOGEUSDT,$54.05,$-1.42,$52.63
104,NEARUSDT,2025-12-26 15:00:00,2025-12-26 17:30:00,$1.492000,$1.516857,WIN,DOGEUSDT,$51.96,$8.66,$60.61
105,ETHUSDT,2025-12-26 15:00:00,2025-12-26 20:45:00,$2902.550000,$2937.872857,WIN,DOGEUSDT,$51.96,$6.32,$58.28
106,DOGEUSDT,2025-12-26 15:15:00,2025-12-26 16:30:00,$0.122180,$0.121662,LOSS,DOGEUSDT,$51.96,$-2.20,$49.76
107,NEARUSDT,2025-12-26 15:15:00,2025-12-26 18:30:00,$1.495000,$1.521786,WIN,DOGEUSDT,$51.96,$9.31,$61.27
108,ETHUSDT,2025-12-26 15:15:00,2025-12-26 16:45:00,$2917.350000,$2907.603750,LOSS,DOGEUSDT,$51.96,$-1.74,$50.22
109,DOGEUSDT,2025-12-26 15:30:00,2025-12-26 16:45:00,$0.122020,$0.121475,LOSS,DOGEUSDT,$51.96,$-2.32,$49.64
110,ETHUSDT,2025-12-26 15:30:00,2025-12-27 04:00:00,$2915.000000,$2929.980000,TIMEOUT,DOGEUSDT,$51.96,$2.67,$54.63
111,DOGEUSDT,2025-12-26 15:45:00,2025-12-26 16:45:00,$0.122060,$0.121498,LOSS,DOGEUSDT,$51.96,$-2.39,$49.56
